id,date,value,method,abc6,abc6Value,abc9,abc9Value,abc12,abc12Value,xyz6,xyz9,xyz12
YH Goods,2019-02-01,90324,,C,4800342,C,6055449,A,7350066,y,y,y
YH Goods,2019-03-01,96547,,C,4800342,C,6055449,A,7350066,y,y,y
YH Goods,2019-04-01,83846,,C,4800342,C,6055449,A,7350066,y,y,y
YH Goods,2019-05-01,84472,,C,4800342,C,6055449,A,7350066,y,y,y
YH Goods,2019-06-01,88111,,C,4800342,C,6055449,A,7350066,y,y,y
YH Goods,2019-07-01,91273,,C,4800342,C,6055449,A,7350066,y,y,y
YH Goods,2019-08-01,103876,,C,4800342,C,6055449,A,7350066,y,y,y
YH Goods,2019-09-01,89614,,C,4800342,C,6055449,A,7350066,y,y,y
YH Goods,2019-10-01,96236,,C,4800342,C,6055449,A,7350066,y,y,y
YH Goods,2019-11-01,151930,,C,4800342,C,6055449,A,7350066,y,y,y
YH Goods,2019-12-01,378298,,C,4800342,C,6055449,A,7350066,y,y,y
YH Goods,2020-01-01,357568,,C,4800342,C,6055449,A,7350066,y,y,y
YH Goods,2020-02-01,161232,,C,4800342,C,6055449,A,7350066,y,y,y
YH Goods,2020-03-01,168531,,C,4800342,C,6055449,A,7350066,y,y,y
YH Goods,2020-04-01,202268,,C,4800342,C,6055449,A,7350066,y,y,y
YH Goods,2020-05-01,293357,,C,4800342,C,6055449,A,7350066,y,y,y
YH Goods,2020-06-01,284783,,C,4800342,C,6055449,A,7350066,y,y,y
YH Goods,2020-07-01,316071,,C,4800342,C,6055449,A,7350066,y,y,y
YH Goods,2020-08-01,362160,,C,4800342,C,6055449,A,7350066,y,y,y
YH Goods,2020-09-01,361240,,C,4800342,C,6055449,A,7350066,y,y,y
YH Goods,2020-10-01,400822,,C,4800342,C,6055449,A,7350066,y,y,y
YH Goods,2020-11-01,552119,,C,4800342,C,6055449,A,7350066,y,y,y
YH Goods,2020-12-01,975938,,C,4800342,C,6055449,A,7350066,y,y,y
YH Goods,2021-01-01,956110,,C,4800342,C,6055449,A,7350066,y,y,y
YH Goods,2021-02-01,422747,,C,4800342,C,6055449,A,7350066,y,y,y
YH Goods,2021-03-01,479368,,C,4800342,C,6055449,A,7350066,y,y,y
YH Goods,2021-04-01,407836,,C,4800342,C,6055449,A,7350066,y,y,y
