TS_ID,PL_ID,StartDate,HistoryValue_1,HistoryValue_2,HistoryValue_3,HistoryValue_4,HistoryValue_5,HistoryValue_6,HistoryValue_7,HistoryValue_8,HistoryValue_9,HistoryValue_10,HistoryValue_11,HistoryValue_12,HistoryValue_13,HistoryValue_14,HistoryValue_15,HistoryValue_16,HistoryValue_17,HistoryValue_18,HistoryValue_19,HistoryValue_20,HistoryValue_21,HistoryValue_22,HistoryValue_23,HistoryValue_24,HistoryValue_25,HistoryValue_26,HistoryValue_27,HistoryValue_28,HistoryValue_29,HistoryValue_30,HistoryValue_31,HistoryValue_32,HistoryValue_33,HistoryValue_34,HistoryValue_35,HistoryValue_36
TS_2,PL_999,1/1/2016,,"227,200","157,500","105,000","210,900","300,110","195,680","143,650","247,100","158,100","178,100","106,100","71,825","245,950","158,400","388,625","177,550","308,476","232,080","327,900","336,850","243,545","54,300","250,854","245,750","127,850","705,025","303,160","405,350","534,726","266,949","390,993","421,000","307,665","566,616","281,400"
TS_3,PL_999,1/1/2016,"73,325","84,975","74,350","83,625","48,750","91,575","86,250","72,200","105,800","66,525","96,175","70,434","83,250","89,925","110,725","125,925","97,975","121,150","97,500","94,320","121,000","97,000","117,750","80,584","94,450","93,875","142,450","114,100","113,600","119,100","102,750","128,800","127,800","117,650","151,750","102,750"
TS_4,PL_999,1/1/2016,"66,000","110,000","110,000","44,000","33,000","176,000","33,000","88,000","88,000","187,000","88,000","108,425","33,020","121,000","125,000","253,000","176,000","99,000","103,000","99,150","22,000","87,450","121,000","165,000","143,000","127,500","110,000","132,000","111,500","133,650","88,000","121,000","143,000","143,000","124,500","176,000"
TS_5,PL_999,1/1/2016,"18,000","9,000","18,000","7,650","58,600","35,200","9,000","81,550","24,925","93,600","88,660","116,600","61,080","7,200","97,300","89,075","92,610","36,000","99,000","91,800","27,000","89,920","145,350","45,000","63,000","72,000","45,900","55,010","64,860","81,900","111,950","74,050","94,500","90,450","64,800","63,000"
TS_6,PL_999,1/1/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS_7,PL_999,1/1/2016,"91,650","57,090","65,720","78,550","76,210","72,680","76,030","81,225","76,640","64,330","51,480","38,300","91,200","39,340","75,760","73,450","49,220","66,380","89,300","49,840","48,130","90,190","49,670","37,980","101,230","89,680","64,400","87,410","79,460","55,110","58,870","66,940","52,700","54,650","37,360","93,660"
TS_8,PL_999,1/1/2016,"108,000","80,000","110,000","80,000","122,300","40,000","121,000","40,000","120,250","106,600","40,000","80,000","80,300","120,000","80,000","80,000","82,500","120,000","80,000","120,000","80,000","80,000","120,000","40,000",,"120,000","119,800","124,000","79,800","84,100","79,800","80,000","80,000","40,000","80,000","40,000"
TS_9,PL_999,1/1/2016,,"1,920","61,305","20,760","52,600","1,490","35,000","35,000","35,160","19,360","70,650","17,550","71,425",,"70,100","52,600","1,450","70,030",,"87,500","118,925","35,000","88,285","53,300","35,700","70,000","87,780","52,500","53,300","88,100","106,005","93,600","52,500","88,205","88,220","89,060"
TS_10,PL_999,1/1/2016,"53,760","8,880","53,760","146,740","13,440","111,600","59,760","53,760","53,760","49,730","80,880","26,880","54,000","59,760","108,020","107,520","107,520","114,760","54,000","50,160","100,500",,"97,000","8,880",,,"54,290","24,100","48,500","48,000","24,000","22,600","48,240","55,500","48,340","24,000"
TS_11,PL_999,1/1/2016,,,,"17,350","36,060","17,350","17,350","34,700","69,400",,"69,400","34,700","69,400","69,400","69,400","34,700","34,700","69,400","104,100","52,050","52,050",,160,"34,700","52,370","17,670","69,400","86,750","52,050","25,950","52,530",,"95,500","52,050","34,700",
TS_12,PL_999,1/1/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"52,000","91,000","65,000"
TS_13,PL_999,1/1/2016,"6,150","16,400","24,100","12,450","25,800","19,400","13,400","46,800",125,"17,100","10,000","18,400","27,000","7,000","23,000","32,000","21,350","16,150","32,250","45,300","33,150","30,500","34,950","16,300","35,775","22,450","31,319","36,500","34,987","23,730","53,238","46,093","49,313","42,433","50,491","16,899"
TS_14,PL_999,1/1/2016,"54,120","18,380","33,920","72,060","52,560","50,440","4,000","16,410","30,560","42,010","35,570","16,300","56,900","54,800","33,570","34,970","34,680","34,400","38,400","16,410","38,710","38,960","37,490","30,220","89,835","52,950","33,710","21,720","36,970","32,260","52,980","16,720","33,140","45,540","34,320","61,000"
TS_15,PL_999,1/1/2016,"11,260","57,750","69,465","31,070","27,420","38,710","53,250",,"7,500","54,850","39,650","7,040","56,120","55,525","44,295","13,850","42,256","32,040","34,976","8,622","40,840","42,086","45,036","30,890","44,672","16,050","56,775","75,060","31,810","23,500","13,080",,"40,210","42,920","52,240","29,860"
TS_16,PL_999,1/1/2016,"61,010","38,080","42,980","47,330","27,640","23,990","29,550","35,550","32,050","27,450","6,050","32,200","6,050","4,100","1,850","28,050","1,000","9,600","25,650","17,200",,"35,200","4,850","9,700","9,100","9,900","20,200","90,400","17,650","22,700","65,000","30,050","39,350","20,450","15,950","37,100"
TS_17,PL_999,1/1/2016,"20,480","21,120","31,720","11,520","30,720","27,480","44,000","9,960","26,880","26,880","25,320","26,880","26,880","17,280","35,760",,"27,880","8,960","9,960","8,960","26,880","9,960","43,840","8,960",,"1,000","6,240","27,040","52,960","9,960",,"5,760","90,720","11,080","35,360","27,040"
TS_18,PL_999,1/1/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"153,060",,"95,200","16,390","135,330"
TS_19,PL_999,1/1/2016,"18,000","14,590","19,500","39,035","29,245","23,080","18,765","36,305","56,540","37,115",50,"18,080","31,580","35,700","36,080","17,890","35,940","18,440","18,530","55,860","36,570","18,890","18,290","80,840","68,150","37,650","18,940","55,250","18,240","18,000","18,720","41,130","50,950","17,290","37,340","34,740"
TS_20,PL_999,1/1/2016,"43,200","30,800","18,200","28,800","28,800","44,700","51,880","68,600","27,550","41,440","72,950","22,000","36,400","13,250","50,800","64,050",,"38,650","36,400","32,690","14,400","33,300","31,400","27,650","50,800","22,000","27,650","25,400","27,650","50,800","16,650","49,650","25,400","42,050","25,400","12,050"
TS_21,PL_999,1/1/2016,"35,620","31,425","25,775","59,855","17,730","32,255","33,020","30,050","20,350","26,050","41,220","2,080","25,980","61,060","49,110","17,760","33,310","68,080","42,970","14,970","61,410","17,590","46,205","19,175","17,950",,"47,300","16,830","16,565","21,450","48,510",200,"42,500","14,595","17,840",860
